sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition;list_meanMAP;list_meanMAT;list_meanTS;list_meanPDQ
Cordia_collococca;Cordia;BORAGINACEAE;1;2;3;0;2;3;0;1;1;1;5;2;2;2369.310598;25.64656049;65.67834291;286.5183631
Cordia_dodecandra;Cordia;BORAGINACEAE;1;2;3;0;2;2;0;1;1;1;5;2;2;2421.78125;25.6421627;55.43685872;311.78125
Cordia_elaeagnoides;Cordia;BORAGINACEAE;1;2;3;0;2;1;0;1;1;1;5;2;3;1664.717934;20.99742953;269.8610763;170.9877031
Cordia_gerascanthus;Cordia;BORAGINACEAE;0;1;0;0;2;3;0;1;2;1;4;2;2;960.5588235;23.2877166;343.2170973;96.35294118
Cordia_glabrata;Cordia;BORAGINACEAE;0;2;3;0;2;2;0;1;1;1;5;2;2;902.6428571;24.06273261;88.20324503;14.57142857
Cordia_goeldiana;Cordia;BORAGINACEAE;0;2;3;0;2;2;0;1;1;1;4;2;3;2611.909091;26.10803912;49.76604948;244.2727273
Cordia_hintonii;Cordia;BORAGINACEAE;0;2;3;0;2;3;0;1;2;1;4;2;3;2337.55;26.56395359;39.92043819;276.875
Cordia_hirta;Cordia;BORAGINACEAE;0;1;3;0;2;3;0;1;1;1;4;2;2;874.5138889;20.83558432;173.52646;24.40277778
Cordia_lutea;Cordia;BORAGINACEAE;1;2;3;0;2;3;0;1;1;1;4;2;3;2274.515152;25.97065747;60.09074115;228.1818182
Cordia_sebestena;Cordia;BORAGINACEAE;0;1;3;0;2;1;0;1;2;1;5;1;5;1330.386207;21.80919475;202.840326;124.0275862
Cordia_sellowiana;Cordia;BORAGINACEAE;0;2;3;0;2;2;0;1;2;1;1;2;3;1706.895639;24.13297089;208.9147569;123.5046729
Cordia_sonorae;Cordia;BORAGINACEAE;0;1;3;0;2;1;2;1;1;1;5;2;5;2629.425287;24.62890331;72.00462297;185.7097701
Cordia_sulcata;Cordia;BORAGINACEAE;1;2;3;0;2;1;0;1;2;1;4;2;2;2667.636364;26.09583667;44.61947634;458.4545455
