sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition
Cordia_lutea;Cordia;BORAGINACEAE;1;2;3;0;2;3;0;1;1;1;4;2;3
Cordia_sebestena;Cordia;BORAGINACEAE;0;1;3;0;2;1;0;1;2;1;5;1;5
Cordia_sellowiana;Cordia;BORAGINACEAE;0;2;3;0;2;2;0;1;2;1;1;2;3
Cordia_sonorae;Cordia;BORAGINACEAE;0;1;3;0;2;1;2;1;1;1;5;2;5
Cordia_sulcata;Cordia;BORAGINACEAE;1;2;3;0;2;1;0;1;2;1;4;2;2
Cordia_toqueve;Cordia;BORAGINACEAE;1;2;3;0;2;1;0;1;1;1;0;2;3
Cordiera_concolor;Cordiera;RUBIACEAE;1;1;0;0;2;3;0;1;0;1;0;2;3
Cornus_disciflora;Cornus;CORNACEAE;0;2;0;0;2;1;0;1;1;1;5;3;5
Cornus_peruviana;Cornus;CORNACEAE;1;2;3;1;1;1;2;1;1;1;5;2;4
Corythophora_alta;Corythophora;LECYTHIDACEAE;1;2;3;0;2;2;0;0;1;1;5;2;2
Cosmibuena_grandiflora;Cosmibuena;RUBIACEAE;1;2;3;0;2;2;0;1;1;0;1;1;2
Couepia_caryophylloides;Couepia;CHRYSOBALANACEAE;1;2;3;0;2;1;0;1;1;1;5;1;4
Couepia_SPP.;Couepia;CHRYSOBALANACEAE;1;2;3;0;2;3;2;1;2;0;1;0;4
Couma_guianensis;Couma;APOCYNACEAE;1;2;3;0;2;3;1;1;2;0;2;0;5
Couma_macrocarpa;Couma;APOCYNACEAE;1;2;3;0;2;2;0;1;1;1;2;1;4
Couratari_gloriosa;Couratari;LECYTHIDACEAE;1;2;3;0;2;2;1;1;1;0;2;0;0
Couratari_guianensis;Couratari;LECYTHIDACEAE;1;2;3;0;2;2;0;1;1;0;2;1;0
Couratari_macrosperma;Couratari;LECYTHIDACEAE;1;2;3;0;2;2;1;1;1;0;1;1;2
Couratari_oblongifolia;Couratari;LECYTHIDACEAE;1;2;3;0;2;3;0;1;1;0;1;1;2
Couratari_SPP.;Couratari;LECYTHIDACEAE;1;2;3;0;2;2;0;1;1;0;1;2;2
Couroupita_guianensis;Couroupita;LECYTHIDACEAE;1;2;3;0;2;3;0;1;1;0;4;1;2
Couroupita_nicaraguensis;Couroupita;LECYTHIDACEAE;1;2;3;0;2;3;2;1;1;0;1;1;2
Coussapoa_angustifolia;Coussapoa;URTICACEAE;1;2;3;0;2;2;0;1;1;0;1;1;2
Coussarea_albescens;Coussarea;RUBIACEAE;1;2;3;0;2;3;0;1;1;1;0;2;3
Coussarea_contracta;Coussarea;RUBIACEAE;1;2;3;0;2;1;0;0;1;1;5;2;5
Coussarea_surinamensis;Coussarea;RUBIACEAE;1;2;3;0;2;1;0;0;1;1;5;2;5
Coutaportla_ghiesbreghtiana;Coutaportla;RUBIACEAE;1;2;3;0;2;0;0;0;1;0;5;2;4
Coutarea_hexandra;Coutarea;RUBIACEAE;0;2;3;0;2;0;1;1;1;1;5;1;4
Crataegus_mexicana;Crataegus;ROSACEAE;1;2;3;0;2;1;1;1;1;0;5;1;2
Crateva_tapia;Crateva;CAPPARACEAE;0;2;3;0;2;1;1;1;1;0;5;1;2
Crepidospermum_rhoifolium;Crepidospermum;BURSERACEAE;0;2;3;0;2;1;0;1;1;1;4;2;0
Crescentia_alata;Crescentia;BIGNONIACEAE;1;2;3;0;2;1;0;0;1;0;5;0;2
Crescentia_amazonica;Crescentia;BIGNONIACEAE;0;2;3;0;2;1;0;1;2;1;5;0;0
Crescentia_cujete;Crescentia;BIGNONIACEAE;0;2;3;2;2;2;0;1;1;1;4;1;0
Croton_draco;Croton;EUPHORBIACEAE;1;2;3;0;2;1;0;1;2;1;0;1;0
Croton_floribundus;Croton;EUPHORBIACEAE;1;2;3;0;2;2;0;1;1;1;5;1;3
Croton_glabellus;Croton;EUPHORBIACEAE;1;2;3;0;2;2;0;1;1;0;5;1;2
Croton_matourensis;Croton;EUPHORBIACEAE;1;2;3;0;2;2;0;1;1;1;4;1;4
Croton_nitens;Croton;EUPHORBIACEAE;1;2;3;0;2;3;1;1;1;0;2;1;3
Croton_scouleri;Croton;EUPHORBIACEAE;0;2;3;0;2;1;0;0;1;1;5;1;3
Cryptocarya_mannii;Cryptocarya;LAURACEAE;1;2;3;0;2;1;0;1;1;1;5;0;1
Cuervea_kappleriana;Cuervea;CELASTRACEAE;1;2;3;0;2;2;0;0;1;1;4;1;3
Cupania_dentata;Cupania;SAPINDACEAE;0;2;3;0;2;2;1;0;1;1;1;3;0
Cupania_SPP.;Cupania;SAPINDACEAE;0;2;3;0;2;1;0;1;1;1;5;0;0
Curarea_candicans;Curarea;MENISPERMACEAE;1;2;3;0;2;1;0;1;1;1;5;0;2
Curatella_americana;Curatella;DILLENIACEAE;1;2;3;0;2;2;1;1;1;1;5;3;0
Curupira_SPP.;Curupira;OLACACEAE;1;2;3;0;1;2;2;1;1;1;5;3;5
Cuspidaria_convoluta;Cuspidaria;BIGNONIACEAE;1;2;3;0;2;2;1;1;2;1;5;1;2
Cuspidaria_lateriflora;Cuspidaria;BIGNONIACEAE;0;1;3;0;2;2;0;0;1;1;0;2;5
Cuspidaria_pulchra;Cuspidaria;BIGNONIACEAE;1;2;3;0;2;1;0;1;1;1;1;1;0
Cyclophyllum_barbatum;Cyclophyllum;RUBIACEAE;1;2;0;0;2;1;0;1;2;1;0;1;0
Cymbopetalum_baillonii;Cymbopetalum;ANNONACEAE;1;2;3;0;2;1;2;1;2;0;5;1;4
Cymbopetalum_brasiliense;Cymbopetalum;ANNONACEAE;0;0;3;0;2;2;0;1;1;0;1;1;2
Cymbopetalum_spp.;Cymbopetalum;ANNONACEAE;1;2;3;0;2;2;0;1;1;0;1;1;2
Cyrtocarpa_procera;Cyrtocarpa;ANACARDIACEAE;1;2;3;0;2;1;0;0;1;1;5;1;2
Cyrtocarpa_SPP.;Cyrtocarpa;ANACARDIACEAE;1;2;3;0;2;1;0;0;1;1;5;2;2
Cyrtocarpa_velutinifolia;Cyrtocarpa;ANACARDIACEAE;0;2;3;0;2;1;0;0;1;1;5;2;2
Dacryodes_kukachkana;Dacryodes;BURSERACEAE;1;2;3;0;2;2;0;1;1;1;5;1;3
Dacryodes_occidentalis;Dacryodes;BURSERACEAE;1;2;3;0;2;2;0;0;1;0;5;1;2
Dacryodes_SPP.;Dacryodes;BURSERACEAE;1;2;3;0;2;1;0;0;1;0;5;1;2
Daphnopsis_macrophylla;Daphnopsis;THYMELAEACEAE;1;2;3;0;2;2;0;0;1;1;5;1;2
Daphnopsis_philippiana;Daphnopsis;THYMELAEACEAE;1;2;3;0;2;1;1;1;0;1;4;1;3
Declieuxia_spp;Declieuxia;RUBIACEAE;0;2;1;0;2;0;0;1;1;0;1;1;3
Delostoma_integrifolium;Delostoma;BIGNONIACEAE;1;2;3;0;2;0;0;1;1;0;5;1;4
Dendrobangia_boliviana;Dendrobangia;CARDIOPTERIDACEAE;0;2;1;0;2;1;0;0;1;1;4;2;2
Dendropanax_arboreus;Dendropanax;ARALIACEAE;1;2;3;1;1;2;2;1;1;1;1;2;3
Dendropanax_cuneatus;Dendropanax;ARALIACEAE;1;2;3;0;2;2;0;0;0;1;5;2;2
Dendropanax_gonatopodus;Dendropanax;ARALIACEAE;1;2;3;1;2;1;2;0;0;1;5;2;2
Desmopsis_SPP.;Desmopsis;ANNONACEAE;1;2;3;0;0;1;0;1;1;0;5;0;1
Diacidia_vestita;Diacidia;MALPIGHIACEAE;1;2;3;0;2;1;2;1;1;0;1;2;2
